qiskit-terra,qiskit
0.25.1,0.44.1
0.25.0,0.44.0
0.24.2,0.43.3
0.24.1,0.43.1
0.24.0,0.43.0
0.23.3,0.42.1
0.23.2,0.41.1
0.23.1,0.41.0
0.23.0,0.40.0
0.22.4,0.39.5
0.22.3,0.39.3
0.22.2,0.39.2
0.22.1,0.39.1
0.22.0,0.39.0
0.21.2,0.37.2
0.21.1,0.37.1
0.21.0,0.37.0
0.20.2,0.36.2
0.20.1,0.36.1
0.20.0,0.35.0
0.19.2,0.34.2
0.19.1,0.33.1
0.19.0,0.33.0
0.18.3,0.30.1
0.18.2,0.29.1
0.18.1,0.29.0
0.18.0,0.28.0
0.17.4,0.26.1
0.17.3,0.26.0
0.17.2,0.25.4
0.17.1,0.25.1
0.17.0,0.25.0
0.16.4,0.23.5
0.16.3,0.23.4
0.16.2,0.23.3
0.16.1,0.23.1
0.16.0,0.23.0
0.15.2,0.20.1
0.15.1,0.20.0
0.14.2,0.19.4
0.14.1,0.19.1
0.14.0,0.19.0
0.13.0,0.18.0
0.12.0,0.15.0
0.11.1,0.14.1
0.11.0,0.14.0
0.10.0,0.13.0
0.9.1,0.12.2
0.9.0,0.12.0
0.8.2,0.10.4
0.8.1,0.10.3
0.8.0,0.9.0
0.7.2,0.8.1
0.7.1,0.8.0
">=0.7,<0.8",0.7.0
